,block,RT,image,position,response,order,environment,condition,location,binary,label,group
0,1,585,soap18,8,-1,1,soap,a,indoor,0,soap,small
1,2,464,soap24,2,1,1,soap,a,indoor,1,soap,small
2,3,683,soap03,23,-1,1,soap,a,indoor,0,soap,small
3,4,648,soap09,17,-1,1,soap,a,indoor,0,soap,small
4,5,655,soap05,21,-1,1,soap,a,indoor,0,soap,small
5,6,723,microwave10,16,-1,1,microwave,a,indoor,0,microwave,big
6,7,900,microwave21,5,1,1,microwave,a,indoor,1,microwave,big
7,8,663,microwave23,3,1,1,microwave,a,indoor,1,microwave,big
8,9,559,microwave02,24,-1,1,microwave,a,indoor,0,microwave,big
9,10,820,microwave08,18,-1,1,microwave,a,indoor,0,microwave,big
10,11,429,lamp14,12,-1,1,lamp,a,indoor,0,lamp,small
11,12,662,lamp04,22,-1,1,lamp,a,indoor,0,lamp,small
12,13,1177,lamp25,1,1,1,lamp,a,indoor,1,lamp,small
13,14,1109,lamp20,6,-1,1,lamp,a,indoor,0,lamp,small
14,15,594,lamp15,11,-1,1,lamp,a,indoor,0,lamp,small
15,16,1092,firealarm22,4,1,1,firealarm,a,indoor,1,firealarm,small
16,17,511,firealarm12,14,-1,1,firealarm,a,indoor,0,firealarm,small
17,18,333,firealarm07,19,1,1,firealarm,a,indoor,1,firealarm,small
18,19,1146,firealarm19,7,1,1,firealarm,a,indoor,1,firealarm,small
19,20,698,firealarm01,25,-1,1,firealarm,a,indoor,0,firealarm,small
20,21,690,candle11,15,-1,1,candle,a,indoor,0,candle,small
21,22,984,candle17,9,-1,1,candle,a,indoor,0,candle,small
22,23,711,candle06,20,-1,1,candle,a,indoor,0,candle,small
23,24,1614,candle16,10,1,1,candle,a,indoor,1,candle,small
24,25,816,candle13,13,-1,1,candle,a,indoor,0,candle,small
25,26,1280,vase25,1,1,1,vase,a,indoor,1,vase,small
26,27,1184,vase17,9,1,1,vase,a,indoor,1,vase,small
27,28,1270,vase21,5,-1,1,vase,a,indoor,0,vase,small
28,29,599,vase22,4,-1,1,vase,a,indoor,0,vase,small
29,30,1862,vase04,22,1,1,vase,a,indoor,1,vase,small
30,31,704,kettle12,14,-1,1,kettle,a,indoor,0,kettle,small
31,32,540,kettle19,7,-1,1,kettle,a,indoor,0,kettle,small
32,33,447,kettle23,3,1,1,kettle,a,indoor,1,kettle,small
33,34,459,kettle03,23,-1,1,kettle,a,indoor,0,kettle,small
34,35,831,kettle01,25,-1,1,kettle,a,indoor,0,kettle,small
35,36,1119,dvdplayer11,15,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
36,37,453,dvdplayer20,6,1,1,dvdplayer,a,indoor,1,dvdplayer,big
37,38,1268,dvdplayer13,13,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
38,39,696,dvdplayer02,24,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
39,40,553,dvdplayer05,21,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
40,41,619,mouse14,12,1,1,mouse,a,indoor,1,mouse,small
41,42,547,mouse24,2,1,1,mouse,a,indoor,1,mouse,small
42,43,769,mouse09,17,-1,1,mouse,a,indoor,0,mouse,small
43,44,1220,mouse10,16,-1,1,mouse,a,indoor,0,mouse,small
44,45,759,mouse06,20,-1,1,mouse,a,indoor,0,mouse,small
45,46,618,pottedplant16,10,1,1,pottedplant,a,indoor,1,pottedplant,small
46,47,1688,pottedplant18,8,-1,1,pottedplant,a,indoor,0,pottedplant,small
47,48,664,pottedplant07,19,-1,1,pottedplant,a,indoor,0,pottedplant,small
48,49,699,pottedplant15,11,1,1,pottedplant,a,indoor,1,pottedplant,small
49,50,563,pottedplant08,18,-1,1,pottedplant,a,indoor,0,pottedplant,small
50,51,767,pitchfork20,6,1,1,pitchfork,a,outdoor,1,pitchfork,small
51,52,1771,pitchfork04,22,1,1,pitchfork,a,outdoor,1,pitchfork,small
52,53,478,pitchfork22,4,1,1,pitchfork,a,outdoor,1,pitchfork,small
53,54,751,pitchfork18,8,-1,1,pitchfork,a,outdoor,0,pitchfork,small
54,55,627,pitchfork09,17,1,1,pitchfork,a,outdoor,1,pitchfork,small
55,56,460,bird15,11,-1,1,bird,a,outdoor,0,bird,small
56,57,532,bird19,7,-1,1,bird,a,outdoor,0,bird,small
57,58,520,bird01,25,-1,1,bird,a,outdoor,0,bird,small
58,59,1275,bird23,3,-1,1,bird,a,outdoor,0,bird,small
59,60,468,bird08,18,-1,1,bird,a,outdoor,0,bird,small
60,61,604,mailbox14,12,-1,1,mailbox,a,outdoor,0,mailbox,small
61,62,841,mailbox06,20,-1,1,mailbox,a,outdoor,0,mailbox,small
62,63,413,mailbox11,15,-1,1,mailbox,a,outdoor,0,mailbox,small
63,64,564,mailbox12,14,-1,1,mailbox,a,outdoor,0,mailbox,small
64,65,1009,mailbox21,5,-1,1,mailbox,a,outdoor,0,mailbox,small
65,66,668,frog24,2,-1,1,frog,a,outdoor,0,frog,small
66,67,1361,frog16,10,-1,1,frog,a,outdoor,0,frog,small
67,68,1676,frog05,21,1,1,frog,a,outdoor,1,frog,small
68,69,2109,frog25,1,1,1,frog,a,outdoor,1,frog,small
69,70,1229,frog03,23,-1,1,frog,a,outdoor,0,frog,small
70,71,852,cactus07,19,-1,1,cactus,a,outdoor,0,cactus,big
71,72,460,cactus13,13,-1,1,cactus,a,outdoor,0,cactus,big
72,73,391,cactus10,16,-1,1,cactus,a,outdoor,0,cactus,big
73,74,1511,cactus17,9,-1,1,cactus,a,outdoor,0,cactus,big
74,75,519,cactus02,24,-1,1,cactus,a,outdoor,0,cactus,big
75,76,602,bottle22,4,1,1,bottle,a,outdoor,1,bottle,big
76,77,449,bottle24,2,-1,1,bottle,a,outdoor,0,bottle,big
77,78,988,bottle03,23,-1,1,bottle,a,outdoor,0,bottle,big
78,79,740,bottle25,1,1,1,bottle,a,outdoor,1,bottle,big
79,80,363,bottle06,20,-1,1,bottle,a,outdoor,0,bottle,big
80,81,642,ashtray17,9,-1,1,ashtray,a,outdoor,0,ashtray,small
81,82,490,ashtray09,17,-1,1,ashtray,a,outdoor,0,ashtray,small
82,83,742,ashtray01,25,-1,1,ashtray,a,outdoor,0,ashtray,small
83,84,315,ashtray12,14,-1,1,ashtray,a,outdoor,0,ashtray,small
84,85,638,ashtray08,18,-1,1,ashtray,a,outdoor,0,ashtray,small
85,86,1521,mug07,19,-1,1,mug,a,outdoor,0,mug,small
86,87,492,mug13,13,-1,1,mug,a,outdoor,0,mug,small
87,88,641,mug18,8,-1,1,mug,a,outdoor,0,mug,small
88,89,475,mug16,10,-1,1,mug,a,outdoor,0,mug,small
89,90,537,mug04,22,-1,1,mug,a,outdoor,0,mug,small
90,91,624,axe10,16,-1,1,axe,a,outdoor,0,axe,small
91,92,662,axe11,15,1,1,axe,a,outdoor,1,axe,small
92,93,753,axe05,21,-1,1,axe,a,outdoor,0,axe,small
93,94,513,axe02,24,-1,1,axe,a,outdoor,0,axe,small
94,95,406,axe15,11,-1,1,axe,a,outdoor,0,axe,small
95,96,905,package23,3,1,1,package,a,outdoor,1,package,small
96,97,1471,package21,5,1,1,package,a,outdoor,1,package,small
97,98,864,package19,7,-1,1,package,a,outdoor,0,package,small
98,99,907,package14,12,-1,1,package,a,outdoor,0,package,small
99,100,665,package20,6,1,1,package,a,outdoor,1,package,small
100,1,260,soap18,8,-1,1,soap,a,indoor,0,soap,small
101,2,413,soap24,2,1,1,soap,a,indoor,1,soap,small
102,3,361,soap03,23,-1,1,soap,a,indoor,0,soap,small
103,4,362,soap09,17,-1,1,soap,a,indoor,0,soap,small
104,5,174,soap05,21,-1,1,soap,a,indoor,0,soap,small
105,6,436,microwave10,16,-1,1,microwave,a,indoor,0,microwave,big
106,7,624,microwave21,5,1,1,microwave,a,indoor,1,microwave,big
107,8,600,microwave23,3,1,1,microwave,a,indoor,1,microwave,big
108,9,393,microwave02,24,-1,1,microwave,a,indoor,0,microwave,big
109,10,409,microwave08,18,1,1,microwave,a,indoor,1,microwave,big
110,11,221,lamp14,12,1,1,lamp,a,indoor,1,lamp,small
111,12,396,lamp04,22,1,1,lamp,a,indoor,1,lamp,small
112,13,1618,lamp25,1,1,1,lamp,a,indoor,1,lamp,small
113,14,597,lamp20,6,1,1,lamp,a,indoor,1,lamp,small
114,15,542,lamp15,11,1,1,lamp,a,indoor,1,lamp,small
115,16,446,firealarm22,4,-1,1,firealarm,a,indoor,0,firealarm,small
116,17,326,firealarm12,14,1,1,firealarm,a,indoor,1,firealarm,small
117,18,311,firealarm07,19,1,1,firealarm,a,indoor,1,firealarm,small
118,19,320,firealarm19,7,-1,1,firealarm,a,indoor,0,firealarm,small
119,20,240,firealarm01,25,-1,1,firealarm,a,indoor,0,firealarm,small
120,21,402,candle11,15,-1,1,candle,a,indoor,0,candle,small
121,22,301,candle17,9,-1,1,candle,a,indoor,0,candle,small
122,23,224,candle06,20,-1,1,candle,a,indoor,0,candle,small
123,24,768,candle16,10,-1,1,candle,a,indoor,0,candle,small
124,25,1174,candle13,13,-1,1,candle,a,indoor,0,candle,small
125,26,235,vase25,1,1,1,vase,a,indoor,1,vase,small
126,27,778,vase17,9,-1,1,vase,a,indoor,0,vase,small
127,28,371,vase21,5,1,1,vase,a,indoor,1,vase,small
128,29,515,vase22,4,1,1,vase,a,indoor,1,vase,small
129,30,605,vase04,22,-1,1,vase,a,indoor,0,vase,small
130,31,341,kettle12,14,-1,1,kettle,a,indoor,0,kettle,small
131,32,379,kettle19,7,1,1,kettle,a,indoor,1,kettle,small
132,33,349,kettle23,3,1,1,kettle,a,indoor,1,kettle,small
133,34,329,kettle03,23,-1,1,kettle,a,indoor,0,kettle,small
134,35,490,kettle01,25,-1,1,kettle,a,indoor,0,kettle,small
135,36,717,dvdplayer11,15,1,1,dvdplayer,a,indoor,1,dvdplayer,big
136,37,603,dvdplayer20,6,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
137,38,549,dvdplayer13,13,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
138,39,787,dvdplayer02,24,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
139,40,447,dvdplayer05,21,-1,1,dvdplayer,a,indoor,0,dvdplayer,big
140,41,322,mouse14,12,-1,1,mouse,a,indoor,0,mouse,small
141,42,666,mouse24,2,1,1,mouse,a,indoor,1,mouse,small
142,43,325,mouse09,17,-1,1,mouse,a,indoor,0,mouse,small
143,44,721,mouse10,16,-1,1,mouse,a,indoor,0,mouse,small
144,45,500,mouse06,20,-1,1,mouse,a,indoor,0,mouse,small
145,46,728,pottedplant16,10,1,1,pottedplant,a,indoor,1,pottedplant,small
146,47,26,pottedplant18,8,1,1,pottedplant,a,indoor,1,pottedplant,small
147,48,481,pottedplant07,19,-1,1,pottedplant,a,indoor,0,pottedplant,small
148,49,312,pottedplant15,11,-1,1,pottedplant,a,indoor,0,pottedplant,small
149,50,809,pottedplant08,18,1,1,pottedplant,a,indoor,1,pottedplant,small
150,51,408,pitchfork20,6,1,1,pitchfork,a,outdoor,1,pitchfork,small
151,52,375,pitchfork04,22,-1,1,pitchfork,a,outdoor,0,pitchfork,small
152,53,607,pitchfork22,4,-1,1,pitchfork,a,outdoor,0,pitchfork,small
